Year,Suburb,avg_price
2016,ABBOTSFORD,1026356
2016,ABERFELDIE,1303790
2016,AIRPORT WEST,669510
2016,ALBERT PARK,1891319
2016,ALBION,580233
2016,ALPHINGTON,1445059
2016,ALTONA,780480
2016,ALTONA NORTH,732546
2016,ARMADALE,1671970
2016,ASCOT VALE,1017441
2016,ASHBURTON,1579998
2016,ASHWOOD,1116917
2016,AVONDALE HEIGHTS,818900
2016,BALACLAVA,769439
2016,BALWYN,1879148
2016,BALWYN NORTH,1755262
2016,BELLFIELD,772228
2016,BENTLEIGH,1254687
2016,BENTLEIGH EAST,1043995
2016,BOX HILL,1300264
2016,BRAYBROOK,652229
2016,BRIGHTON,1933237
2016,BRIGHTON EAST,1657447
2016,BROOKLYN,589915
2016,BRUNSWICK,926619
2016,BRUNSWICK EAST,939656
2016,BRUNSWICK WEST,784737
2016,BULLEEN,1154405
2016,BURNLEY,1079878
2016,BURWOOD,1192325
2016,CAMBERWELL,1876608
2016,CANTERBURY,2262146
2016,CARLTON,1016115
2016,CARLTON NORTH,1397549
2016,CARNEGIE,886441
2016,CAULFIELD,993969
2016,CAULFIELD EAST,1073333
2016,CAULFIELD NORTH,1038627
2016,CAULFIELD SOUTH,1179100
2016,CHADSTONE,1016598
2016,CLIFTON HILL,1160903
2016,COBURG,877033
2016,COBURG NORTH,768988
2016,COLLINGWOOD,898499
2016,CREMORNE,1018664
2016,DOCKLANDS,1033333
2016,DONCASTER,1181251
2016,EAGLEMONT,1672536
2016,EAST MELBOURNE,1254917
2016,ELSTERNWICK,1344140
2016,ELWOOD,1004140
2016,ESSENDON,1025716
2016,ESSENDON NORTH,806913
2016,ESSENDON WEST,984796
2016,FAIRFIELD,1044834
2016,FAWKNER,606041
2016,FITZROY,1242214
2016,FITZROY NORTH,1272113
2016,FLEMINGTON,782927
2016,FOOTSCRAY,678940
2016,GARDENVALE,907000
2016,GLEN HUNTLY,757460
2016,GLEN IRIS,1642486
2016,GLENROY,602264
2016,GOWANBRAE,627821
2016,HADFIELD,646055
2016,HAMPTON,1594185
2016,HAMPTON EAST,1085126
2016,HAWTHORN,1380147
2016,HAWTHORN EAST,1486644
2016,HEIDELBERG,930800
2016,HEIDELBERG HEIGHTS,712514
2016,HEIDELBERG WEST,625437
2016,HUGHESDALE,1077272
2016,IVANHOE,1070593
2016,IVANHOE EAST,1771898
2016,JACANA,451953
2016,KEALBA,562598
2016,KEILOR EAST,749446
2016,KEILOR PARK,595233
2016,KENSINGTON,811831
2016,KEW,1865260
2016,KEW EAST,1617899
2016,KINGSBURY,694717
2016,KINGSVILLE,848861
2016,KOOYONG,1395056
2016,MAIDSTONE,713246
2016,MALVERN,1946439
2016,MALVERN EAST,1473400
2016,MARIBYRNONG,752704
2016,MELBOURNE,668369
2016,MIDDLE PARK,2213983
2016,MONT ALBERT,1415617
2016,MOONEE PONDS,1061114
2016,MOORABBIN,938433
2016,MURRUMBEENA,1027785
2016,NEWPORT,968463
2016,NIDDRIE,886713
2016,NORTH MELBOURNE,842253
2016,NORTHCOTE,1250487
2016,OAK PARK,748542
2016,OAKLEIGH,951469
2016,OAKLEIGH SOUTH,926916
2016,ORMOND,1149008
2016,PARKVILLE,1217045
2016,PASCOE VALE,714015
2016,PORT MELBOURNE,1187141
2016,PRAHRAN,1113442
2016,PRESTON,839862
2016,PRINCES HILL,1777333
2016,RESERVOIR,635888
2016,RICHMOND,1078111
2016,RIPPONLEA,744000
2016,ROSANNA,917460
2016,SEAHOLME,1040000
2016,SEDDON,968959
2016,SOUTH KINGSVILLE,717981
2016,SOUTH MELBOURNE,1248176
2016,SOUTH YARRA,1061442
2016,SOUTHBANK,650882
2016,SPOTSWOOD,956770
2016,ST KILDA,824949
2016,STRATHMORE,1162638
2016,STRATHMORE HEIGHTS,855250
2016,SUNSHINE,661067
2016,SUNSHINE NORTH,629860
2016,SUNSHINE WEST,541056
2016,SURREY HILLS,1564320
2016,TEMPLESTOWE LOWER,1103770
2016,THORNBURY,899914
2016,TOORAK,1853554
2016,TRAVANCORE,1000542
2016,VIEWBANK,895444
2016,WATSONIA,704478
2016,WEST FOOTSCRAY,757851
2016,WEST MELBOURNE,927340
2016,WILLIAMSTOWN,1254357
2016,WILLIAMSTOWN NORTH,842708
2016,WINDSOR,999556
2016,YALLAMBIE,760559
2016,YARRAVILLE,951752
2017,ABBOTSFORD,1093340
2017,ABERFELDIE,1278960
2017,AIRPORT WEST,757060
2017,ALBANVALE,532417
2017,ALBERT PARK,2098837
2017,ALBION,639971
2017,ALPHINGTON,1378904
2017,ALTONA,882496
2017,ALTONA MEADOWS,683337
2017,ALTONA NORTH,823565
2017,ARDEER,651750
2017,ARMADALE,1627786
2017,ASCOT VALE,1106911
2017,ASHBURTON,1707584
2017,ASHWOOD,1173199
2017,ASPENDALE,1211982
2017,ASPENDALE GARDENS,835000
2017,ATTWOOD,640000
2017,AVONDALE HEIGHTS,849147
2017,BALACLAVA,747007
2017,BALWYN,1859695
2017,BALWYN NORTH,1789041
2017,BAYSWATER,720075
2017,BAYSWATER NORTH,730813
2017,BEACONSFIELD,581333
2017,BEACONSFIELD UPPER,675000
2017,BEAUMARIS,1691395
2017,BELLFIELD,835921
2017,BENTLEIGH,1306222
2017,BENTLEIGH EAST,1187101
2017,BERWICK,789214
2017,BLACK ROCK,1344442
